class,proportion
K,0.04753597906672481
G,0.039140863497601396
I,0.037723506323593545
F,0.02540340165721762
R,0.02136938508504143
A,0.016027038813781074
L,0.012538159616223288
M,0.012102049716528566
N,0.011993022241604884
S,0.009267335368512866
GK,0.0053423462712603575
AK,0.005015263846489315
J,0.0032708242477104232
B,0.002289576973397296
MK,0.0017444395987788923
Q,0.0015263846489315307
O,0.0015263846489315307
C|I,0.0013083296990841692
KJ,0.0011993022241604885
GI,0.0010902747492368076
H|K,0.0008722197993894462
D,0.0008722197993894462
FK,0.0006541648495420846
C,0.0006541648495420846
P,0.0005451373746184038
MI,0.00021805494984736154
LJ,0.00010902747492368077
GKJ,0.00010902747492368077
OI,0.00010902747492368077
D|R,0.00010902747492368077
E,0.00010902747492368077
